"$1,000,000 Kid: Maboroshi no Teikohen"," ",01.06.89,"Sofel"
"'89 Dennou Kyuseiuranai","IPC-J1",12.10.88,"Jingukan"
"10-Yard Fight","IF-02","08/30/1985","Irem"
"1942","CAP-19, 01",12.11.85,"Capcom"
"1943: The Battle of Valhalla","CAP-43","06/20/1988","Capcom"
"1999: Hore, Mitakotoka! Seikimatsu","CDS-CS","09/18/1992","C-Dream"
"2010","STE-20",08.08.90,"Capcom"
"4 Nin'uchi Mah-Jong","HVC-FJ",11.02.84,"Nintendo"
"8 Eyes","KKS-8E, 03","09/27/1988","Seta"
"A Ressha de Ikou","PHF-IX","08/21/1991","Pony Canyon"
"A Week of Garfield","TCC-VG",04.07.89,"Towa Chiki"
"Abadox: Jigoku no Inner Wars"," ","12/15/1989","Natsume"
"Abarenbou Tengu","MDC-51","12/14/1990","Meldac"
"Aces: Iron Eagle III","PAC-99",08.07.92,"Pack-In-Video"
"Advanced Dungeons & Dragons: Dragons of Flame","PNF-OF","02/21/1992","Pony Canyon"
"Advanced Dungeons & Dragons: Heroes of the Lance","PNF-LQ",03.08.91,"Pony Canyon"
"Advanced Dungeons & Dragons: Hillsfar","PNF-QQ","03/21/1991","Pony Canyon"
"Advanced Dungeons & Dragons: Pool of Radiance"," ","06/28/1991","Pony Canyon"
"Adventures of Lolo","HAL-A4",01.06.90,"HAL Laboratory"
"Adventures of Lolo II","HAL-QL","12/26/1990","HAL Laboratory"
"After Burner"," ","03/30/1989","Sunsoft"
"Ah! Yakyu Jinsei Ichyokusen"," ","12/25/1992","Sammy"
"Ai Sensei no O-Shi-E-Te: Watashi no Hoshi"," ","03/26/1993"," "
"Air Fortress","HAL-AI","08/17/1987","HAL Laboratory"
"Airwolf"," ","12/24/1988","Kyugo"
"Akagawa Jirou no Yureiressha"," ",02.08.91,"King Records"
"Akira",21,"12/24/1988","Taito"
"Akuma no Shoutaijou","KSC-UV","09/29/1989","Kemco / Icom Simulations"
"Akumajou Densetsu","RC845","12/22/1989","Konami / Konami"
"Akumajou Dracula","RV003",02.05.93,"Konami"
"Akumajou Special: Boku Dracula-kun","RC847","10/19/1990","Konami"
"Akumakun: Makai no Wana"," ","02/24/1990","Bandai"
